問題,解答,問題番号,ヒント
$$\int (x^3+3x^2+3x+1) dx$$,$$\frac{(x+1)^4}{4} + C$$,1,$$x^3+3x^2+3x+1 = (x+1)^3$$ 1次式のカタマリ
$$\int (x^2+2x+3)(x+1) dx$$,$$\frac{1}{4}(x^2+2x+3)^2 + C$$,2,微分すると $$(x^2+2x+3)(x+1)$$ になるカタマリを探す
$$\int (2x+1)^3 dx$$,$$\frac{(2x+1)^4}{8} + C$$,3,$$2x+1$$ を1つの1次式のカタマリとみる
$$\int_0^1 (x^2+1)^3 dx$$,$$\frac{96}{35}$$,4,$$(x^2+1)^3 = x^6 + 3x^4 + 3x^2 + 1$$
$$\int x(x^2+1)^3 dx$$,$$\frac{(x^2+1)^4}{8} + C$$,5,$$x(x^2+1)^3$$ を微分する
$$\int_3^5 x(x-3)^2 dx$$,$$12$$,6,$$x(x-3)^2 = (x-3)^3 + 3(x-3)^2$$
$$\int_{\alpha}^{\beta} (x-\alpha)^3(\beta-x)^2 dx$$,$$\frac{1}{60}(\beta-\alpha)^6$$,7,部分積分法を2回 or $$x-\alpha$$ について整理
$$\int x^2(x^3+1)^4 dx$$,$$\frac{1}{15}(x^3+1)^5 + C$$,8,$$x^2(x^3+1)^4$$ を微分する
$$\int_0^{\frac{1}{2}} x(1-2x)^n dx$$ $$(n は自然数)$$,$$\frac{1}{4(n+1)(n+2)}$$,9,$$t = 1-2x$$ とおくと $$x = \frac{1-t}{2}$$
$$\int_1^2 \frac{1}{x} dx$$,$$\log 2$$,10,$$(\log |x|)' = \frac{1}{x}$$
$$\int \frac{dx}{x^2}$$,$$-\frac{1}{x} + C$$,11,$$(\frac{1}{x})' = -\frac{1}{x^2}$$
$$\int_2^3 \frac{1}{1-x} dx$$,$$-\log 2$$,12,$$\frac{1}{1-x}$$ 1次式のカタマリ
$$\int \frac{\sin x}{\cos^2 x + 4\sin^2 x} dx$$,$$\frac{1}{4\sqrt{3}}\log\frac{2-\sqrt{3}\cos x}{2+\sqrt{3}\cos x} + C$$,13,$$\frac{\sin x}{4-3\cos^2 x}$$ に変形して微分形を探す
$$\int_0^{\frac{\pi}{4}} \frac{(1+\tan x)^3}{\cos^2 x} dx$$,$$\frac{15}{4}$$,14,$$(1+\tan x)^3 \cdot \frac{1}{\cos^2 x}$$ 微分するとカタマリになる形
$$\int_0^{\pi} \sqrt{1+\cos x} dx$$,$$2\sqrt{2}$$,15,$$\sqrt{2\cos^2 \frac{x}{2}} = \sqrt{2}\cos \frac{x}{2}$$ 半角の公式を利用
$$\int_0^{\frac{\pi}{2}} \frac{\cos x}{\sqrt{1+\sin x}} dx$$,$$2(\sqrt{2}-1)$$,16,$$\frac{\cos x}{\sqrt{1+\sin x}}$$ カタマリを微分する形
$$\int_{\frac{\pi}{6}}^{\frac{\pi}{2}} \frac{\cos \theta}{\sqrt{1+2\sin \theta}} d\theta$$,$$\sqrt{3}-\sqrt{2}$$,17,$$\frac{\cos \theta}{\sqrt{1+2\sin \theta}}$$ カタマリを微分する形
$$\int_0^{\frac{\pi}{2}} e^{-x} \cos 2x dx$$,$$\frac{1}{5}(1+e^{-\frac{\pi}{2}})$$,18,部分積分法を2回使って同型出現の方程式を作る
$$\int e^x \cos x dx$$,$$\frac{1}{2}e^x(\cos x + \sin x) + C$$,19,部分積分法を2回使って方程式を作る
$$\int e^{2x} \sin 3x dx$$,$$\frac{1}{13}e^{2x}(2\sin 3x - 3\cos 3x) + C$$,20,部分積分法を2回使って方程式を作る
$$\int (\sin x + \cos x) e^{-x} dx$$,$$-e^{-x}\cos x + C$$,21,$$(e^{-x}\cos x)' = -e^{-x}\cos x - e^{-x}\sin x$$ の関係を利用
$$\int \cos^3 x dx$$,$$\sin x - \frac{\sin^3 x}{3} + C$$ または $$\frac{3}{4}\sin x + \frac{1}{12}\sin 3x + C$$,22,$$(1-\sin^2 x)\cos x$$ に変形して微分形を探す、または3倍角の公式利用
$$\int_{-\frac{\pi}{2}}^{\frac{\pi}{2}} (x^2 - \sin x) dx$$,$$\frac{\cos^3 \theta}{3} - \cos \theta + C$$,23,$$\sin^3 \theta = (1-\cos^2 \theta)\sin \theta$$ に変形して微分形を探す
$$\int_0^{\frac{\pi}{3}} (\cos x - 2\sin x) dx$$,$$\frac{8}{15}$$,24,$$(\cos^2 x)^2\cos x = (1-\sin^2 x)^2\cos x$$ に変形して微分形を探す
$$\int (\cos x - x\sin x) dx$$,$$\frac{3}{16}\pi$$,25,$$\left(\frac{1+\cos 2x}{2}\right)^2 = \frac{1}{4}(1+2\cos 2x + \frac{1+\cos 4x}{2})$$ 半角・倍角で次数を下げる
$$\int_0^{\pi} (1+\cos \theta)^2 d\theta$$,$$-\frac{1}{3}\cos^3 \theta + C$$,26,$$\cos^2 \theta \sin \theta$$ カタマリを微分する形
$$\int_0^{\pi} (\sin \theta + \cos \theta)^2 d\theta$$,$$\tan x + \frac{\tan^3 x}{3} + C$$,27,$$\frac{1}{\cos^4 x} = (1+\tan^2 x) \cdot \frac{1}{\cos^2 x}$$ に変形して微分形を探す
$$\int_0^{\pi} \left(\sin x - \frac{1}{2}\sin 2x\right)^2 dx$$,$$\frac{1}{8}\left(\theta - \frac{1}{4}\sin 4\theta\right) + C$$,28,$$\frac{1}{4}\sin^2 2\theta = \frac{1}{8}(1-\cos 4\theta)$$ 倍角の公式で次数を下げる
$$\int (\sin^4 \theta + \cos^4 \theta) d\theta$$,$$\frac{1}{4}\sin 2\theta - \frac{1}{32}\sin 8\theta - \frac{1}{16}\sin 4\theta + C$$,29,$$\frac{1-\cos 6\theta}{2}\cos 2\theta = \frac{1}{2}(\cos 2\theta - \frac{1}{2}(\cos 8\theta + \cos 4\theta))$$ 積和の公式
$$\int_0^{\frac{\pi}{2}} (3\cos \theta - \cos 3\theta)(\cos \theta - \cos 3\theta) d\theta$$,$$\frac{2}{35}$$,30,$$\sin x(\cos^4 x - \cos^6 x)$$ カタマリを微分する形
